rank,id,player,team,pos,Targets,Receptions,ReceivingYards,ReceivingTDs,AverageCushion,TargetSeparation,TrueCatchRate,ContestedTargets,ContestedCatches,ReceiverContestedCatchRate,YardsPerReception,YardsPerTarget,YardsPerRouteRun,Drops,DropRate
1,18882,Cooper Kupp,LAR,WR,191,145,1947,16,4.4,1.7,93.5,62,13,0.2,13.4,10.2,3.3,4.0,2.1
2,21077,Diontae Johnson,PIT,WR,169,107,1161,8,3.7,1.9,81.7,28,12,0.4,10.8,6.9,1.9,9.0,5.3
3,16470,Davante Adams,GB,WR,169,123,1553,11,4.2,1.6,91.1,42,9,0.2,12.6,9.2,3.2,6.0,3.5
4,21685,Justin Jefferson,MIN,WR,167,108,1616,10,4.4,1.5,81.2,30,10,0.3,15.0,9.7,2.8,11.0,6.6
5,16906,Stefon Diggs,BUF,WR,164,103,1225,10,4.0,1.6,87.3,35,14,0.4,11.9,7.5,2.2,4.0,2.4
6,19844,DJ Moore,CAR,WR,162,93,1157,4,4.5,1.6,80.2,41,12,0.3,12.4,7.1,2.0,11.0,6.8
7,18082,Tyreek Hill,KC,WR,159,111,1239,9,4.3,1.7,88.1,30,6,0.2,11.2,7.8,2.3,6.0,3.8
8,15076,Keenan Allen,LAC,WR,157,106,1138,6,4.4,1.6,80.9,20,12,0.6,10.7,7.2,1.9,11.0,7.0
9,21045,Marquise Brown,BAL,WR,145,91,1008,6,5.7,1.7,85.8,30,5,0.2,11.1,7.0,1.9,7.0,4.8
10,22598,Jaylen Waddle,MIA,WR,142,104,1015,6,4.3,1.9,110.6,28,10,0.4,9.8,7.1,1.9,5.0,3.5
11,21961,Darnell Mooney,CHI,WR,140,81,1055,4,5.5,1.9,77.1,36,7,0.2,13.0,7.5,2.0,4.0,2.9
12,16568,Brandin Cooks,HOU,WR,133,90,1037,6,4.8,1.8,96.8,17,9,0.5,11.5,7.8,2.1,5.0,3.8
13,20873,Terry McLaurin,WAS,WR,131,77,1053,5,4.2,1.2,81.9,34,15,0.4,13.7,8.0,2.0,5.0,3.8
14,21744,Michael Pittman Jr.,IND,WR,129,88,1082,6,4.5,1.8,88.9,42,17,0.4,12.3,8.4,2.1,4.0,3.1
15,20875,DK Metcalf,SEA,WR,129,75,967,12,5.1,1.2,76.5,31,11,0.4,12.9,7.5,2.1,7.0,5.4
16,18914,Mike Williams,LAC,WR,129,76,1146,9,4.0,1.4,80.8,30,16,0.5,15.1,8.9,2.1,8.0,6.2
17,20924,Hunter Renfrow,LV,WR,128,103,1038,9,4.0,2.1,92.0,26,7,0.3,10.1,8.1,2.1,4.0,3.1
18,18880,Chris Godwin,TB,WR,128,98,1103,5,4.1,1.6,92.5,25,10,0.4,11.2,8.6,2.1,7.0,5.5
19,22564,Ja'Marr Chase,CIN,WR,128,81,1455,13,3.9,1.5,80.2,36,9,0.2,18.0,11.4,2.7,8.0,6.2
20,20876,Jakobi Meyers,NE,WR,126,83,867,2,4.6,1.6,89.2,41,15,0.4,10.4,6.9,1.8,2.0,1.6
21,21679,CeeDee Lamb,DAL,WR,120,79,1102,6,4.5,1.6,84.9,19,6,0.3,13.9,9.2,2.3,9.0,7.5
22,20932,Deebo Samuel Sr.,SF,WR,120,77,1405,6,4.7,1.6,81.9,23,10,0.4,18.2,11.7,3.2,10.0,8.3
23,22587,Amon-Ra St. Brown,DET,WR,119,90,912,5,4.9,1.6,89.1,18,11,0.6,10.1,7.7,1.9,3.0,2.5
24,16597,Mike Evans,TB,WR,113,74,1035,14,3.9,1.7,90.2,44,18,0.4,14.0,9.2,1.8,5.0,4.4
25,21690,Tee Higgins,CIN,WR,110,74,1091,6,4.3,1.7,78.7,40,10,0.2,14.7,9.9,2.4,5.0,4.5
26,18187,Robbie Chosen,CAR,WR,110,53,519,5,5.0,1.6,69.7,31,8,0.3,9.8,4.7,0.9,5.0,4.5
27,16830,Tyler Lockett,SEA,WR,107,73,1175,8,5.1,1.7,97.3,20,8,0.4,16.1,11.0,2.6,0.0,0.0
28,21752,Chase Claypool,PIT,WR,105,59,860,2,4.2,1.3,71.1,34,17,0.5,14.6,8.2,1.8,7.0,6.7
29,21042,A.J. Brown,TEN,WR,105,63,869,5,4.5,1.5,82.9,23,12,0.5,13.8,8.3,2.7,6.0,5.7
30,21687,DeVonta Smith,PHI,WR,103,64,916,5,4.5,1.8,81.0,34,11,0.3,14.3,8.9,2.1,5.0,4.8
31,16765,Amari Cooper,DAL,WR,103,68,865,8,5.0,1.7,82.9,18,8,0.4,12.7,8.4,1.9,6.0,5.8
32,19815,Christian Kirk,ARI,WR,103,77,982,5,4.7,1.8,87.5,20,12,0.6,12.8,9.5,2.0,6.0,5.8
33,21697,Laviska Shenault Jr.,JAX,WR,99,63,619,0,4.6,1.5,82.9,11,4,0.4,9.8,6.2,1.4,7.0,7.1
34,19800,Courtland Sutton,DEN,WR,98,58,776,2,4.2,1.6,72.5,20,6,0.3,13.4,7.9,1.6,6.0,6.1
35,15534,Adam Thielen,MIN,WR,95,67,726,10,4.8,1.4,89.3,27,11,0.4,10.8,7.6,1.7,0.0,0.0
36,17986,Tyler Boyd,CIN,WR,94,67,828,5,4.2,1.9,95.7,21,6,0.3,12.3,8.8,1.7,1.0,1.1
37,20006,Russell Gage,ATL,WR,93,66,770,4,4.5,1.8,88.0,16,6,0.4,11.7,8.3,2.2,5.0,5.4
38,21739,Van Jefferson,LAR,WR,89,50,802,6,4.6,1.4,74.6,31,5,0.2,16.0,9.0,1.6,11.0,12.3
39,19207,Tim Patrick,DEN,WR,85,53,734,5,4.7,1.8,81.5,16,4,0.2,13.8,8.6,1.6,6.0,7.0
40,21747,Brandon Aiyuk,SF,WR,85,56,826,5,5.2,1.4,80.0,21,10,0.5,14.8,9.7,1.9,3.0,3.5
41,20788,Mecole Hardman Jr.,KC,WR,83,59,693,2,4.6,1.6,90.8,17,1,0.1,11.7,8.3,1.8,2.0,2.4
42,16389,Odell Beckham Jr.,LAR,WR,82,44,537,5,4.6,1.6,78.6,11,4,0.4,12.2,6.5,1.4,5.0,6.1
43,21714,K.J. Osborn,MIN,WR,82,50,655,7,4.7,1.5,90.9,19,6,0.3,13.1,8.0,1.4,1.0,1.2
44,22592,Elijah Moore,NYJ,WR,77,43,538,5,4.9,1.7,81.1,6,3,0.5,12.5,7.0,1.7,6.0,7.8
45,16775,DeVante Parker,MIA,WR,73,40,515,2,3.7,1.2,90.9,25,13,0.5,12.9,7.0,1.7,9.0,12.3
46,16866,Jamison Crowder,NYJ,WR,72,51,447,2,4.6,1.4,87.9,3,1,0.3,8.8,6.2,1.3,5.0,6.9
47,18422,Kalif Raymond,DET,WR,71,48,576,4,5.1,1.6,80.0,9,4,0.4,12.0,8.1,1.3,5.0,7.0
48,18926,Zay Jones,LV,WR,70,47,546,1,4.8,1.9,90.4,19,5,0.3,11.6,7.8,1.5,1.0,1.4
49,19318,Kendrick Bourne,NE,WR,70,55,800,5,4.5,1.7,96.5,18,7,0.4,14.5,11.4,2.1,2.0,2.9
50,14871,Robert Woods,LAR,WR,69,45,556,4,4.9,2.2,86.5,28,2,0.1,12.3,8.1,1.9,7.0,10.1
51,19172,Zach Pascal,IND,WR,69,38,384,3,4.0,1.5,76.0,29,4,0.1,10.1,5.6,0.9,4.0,5.8
52,22623,Rashod Bateman,BAL,WR,67,46,515,1,5.9,1.6,86.8,11,7,0.6,11.2,7.7,1.6,2.0,3.0
53,19961,Ray-Ray McCloud,PIT,WR,66,39,277,0,4.3,1.3,92.8,5,1,0.2,7.1,4.2,0.9,1.0,1.5
54,16263,Allen Robinson II,CHI,WR,66,38,410,1,5.6,1.1,80.8,27,8,0.3,10.8,6.2,1.4,1.0,1.5
55,22626,Rondale Moore,ARI,WR,65,54,435,1,4.8,1.6,98.2,6,3,0.5,8.1,6.7,1.8,2.0,3.1
56,20038,Braxton Berrios,NYJ,WR,65,46,431,2,5.0,1.7,112.2,2,1,0.5,9.4,6.6,1.8,0.0,0.0
57,21735,Gabe Davis,BUF,WR,63,35,549,6,4.5,1.8,79.5,12,7,0.6,15.7,8.7,1.9,4.0,6.3
58,16781,Nelson Agholor,NE,WR,63,37,473,3,4.4,1.6,92.5,20,5,0.2,12.8,7.5,1.2,1.0,1.6
59,14986,DeAndre Hopkins,ARI,WR,63,42,572,8,4.3,1.6,80.8,12,5,0.4,13.6,9.1,2.0,4.0,6.3
60,21957,Quez Watkins,PHI,WR,62,43,647,1,4.7,2.2,84.3,14,2,0.1,15.0,10.4,1.9,2.0,3.2
61,19867,Michael Gallup,DAL,WR,62,35,445,2,4.3,1.1,77.8,17,8,0.5,12.7,7.2,1.5,2.0,3.2
62,21756,Nico Collins,HOU,WR,61,33,446,1,4.7,1.4,89.2,19,7,0.4,13.5,7.3,1.3,2.0,3.3
63,20013,Cedrick Wilson Jr.,DAL,WR,61,45,602,6,4.5,1.9,80.3,7,3,0.4,13.4,9.9,1.9,1.0,1.6
64,20145,Allen Lazard,GB,WR,60,40,513,8,5.0,1.7,80.0,16,8,0.5,12.8,8.6,1.4,6.0,10.0
65,20150,Byron Pringle,KC,WR,60,42,568,5,4.7,2.3,85.7,8,3,0.4,13.5,9.5,1.6,7.0,11.7
66,21163,Deonte Harty,NO,WR,59,36,570,3,5.2,2.0,109.1,7,1,0.1,15.8,9.7,3.3,3.0,5.1
67,20943,Darius Slayton,NYG,WR,58,26,339,2,5.7,1.7,74.3,14,1,0.1,13.0,5.8,1.0,7.0,12.1
68,21754,Donovan Peoples-Jones,CLE,WR,58,34,597,3,4.3,1.5,75.5,22,14,0.6,17.6,10.3,1.6,4.0,6.9
69,21686,Jalen Reagor,PHI,WR,57,33,299,2,4.8,1.5,78.6,13,2,0.2,9.1,5.2,0.8,4.0,7.0
70,22614,Kadarius Toney,NYG,WR,57,39,420,0,4.7,1.8,86.7,10,4,0.4,10.8,7.4,2.1,2.0,3.5
71,21692,Jerry Jeudy,DEN,WR,56,38,467,0,4.6,2.4,84.4,15,1,0.1,12.3,8.3,2.0,4.0,7.1
72,21734,Nick Westbrook-Ikhine,TEN,WR,56,38,476,4,4.1,1.6,111.8,11,6,0.5,12.5,8.5,1.5,1.0,1.8
73,21675,Tyler Johnson,TB,WR,55,36,360,0,4.3,1.8,87.8,16,4,0.2,10.0,6.5,1.0,3.0,5.5
74,19976,Marquez Valdes-Scantling,GB,WR,55,26,430,3,5.1,1.5,83.9,13,2,0.2,16.5,7.8,1.6,0.0,0.0
75,21142,Olamide Zaccheaus,ATL,WR,53,31,406,3,4.7,1.5,75.6,9,3,0.3,13.1,7.7,1.2,3.0,5.7
76,17961,Sterling Shepard,NYG,WR,53,36,366,1,5.5,1.2,97.3,14,6,0.4,10.2,6.9,1.8,4.0,7.5
77,19802,Calvin Ridley,ATL,WR,52,31,281,2,5.2,1.9,83.8,12,3,0.2,9.1,5.4,1.5,6.0,11.5
78,17914,Laquon Treadwell,JAX,WR,51,33,434,1,4.6,1.6,97.0,15,7,0.5,13.2,8.5,1.6,5.0,9.8
79,22613,Joshua Palmer,LAC,WR,49,33,353,4,4.3,1.2,86.8,8,8,1.0,10.7,7.2,1.3,1.0,2.0
80,19017,Josh Reynolds,DET,WR,49,29,396,2,4.1,1.2,76.3,10,8,0.8,13.7,8.1,1.5,1.0,2.0
81,13291,Julio Jones,TEN,WR,48,31,434,1,4.2,1.3,93.9,14,9,0.6,14.0,9.0,1.9,2.0,4.2
82,21448,Jalen Guyton,LAC,WR,48,31,448,3,4.4,1.8,77.5,6,4,0.7,14.4,9.3,1.1,3.0,6.2
83,21721,Devin Duvernay,BAL,WR,47,33,272,2,5.5,1.5,89.2,7,4,0.6,8.2,5.8,0.8,1.0,2.1
84,17218,DeAndre Carter,WAS,WR,43,24,296,3,4.6,1.9,80.0,7,3,0.4,12.3,6.9,1.3,2.0,4.7
85,18047,Demarcus Robinson,KC,WR,41,25,264,3,4.9,1.7,89.3,7,1,0.1,10.6,6.4,0.6,0.0,0.0
86,21960,Freddie Swain,SEA,WR,40,25,343,4,5.2,1.7,78.1,6,1,0.2,13.7,8.6,1.0,3.0,7.5
87,19044,Jamal Agnew,JAX,WR,40,24,229,1,4.4,2.0,85.7,9,2,0.2,9.5,5.7,1.4,1.0,2.5
88,14865,Marquise Goodwin,CHI,WR,40,20,313,1,5.0,1.2,80.0,12,2,0.2,15.7,7.8,1.4,0.0,0.0
89,21717,Jauan Jennings,SF,WR,39,24,282,5,4.7,2.0,72.7,8,6,0.8,11.8,7.2,1.6,6.0,15.4
90,13227,Randall Cobb,GB,WR,39,28,375,5,4.7,1.4,84.8,10,5,0.5,13.4,9.6,1.8,2.0,5.1
91,16837,Chris Conley,HOU,WR,37,22,323,2,5.3,1.2,129.4,3,2,0.7,14.7,8.7,1.2,2.0,5.4
92,22685,Terrace Marshall Jr.,CAR,WR,30,17,138,0,4.4,1.8,81.0,8,0,0.0,8.1,4.6,0.5,2.0,6.7
93,18883,JuJu Smith-Schuster,PIT,WR,28,15,129,0,5.0,1.8,88.2,6,1,0.2,8.6,4.6,0.9,0.0,0.0
94,19023,Mack Hollins,MIA,WR,28,14,223,4,4.3,1.6,93.3,4,1,0.2,15.9,8.0,1.1,3.0,10.7
95,20679,KhaDarel Hodge,DET,WR,27,13,157,0,4.8,1.3,86.7,7,4,0.6,12.1,5.8,1.1,1.0,3.7
96,19043,Isaiah McKenzie,BUF,WR,26,20,178,1,3.8,1.5,87.0,1,1,1.0,8.9,6.8,1.3,2.0,7.7
97,22686,Dyami Brown,WAS,WR,25,12,165,0,4.7,1.2,66.7,8,3,0.4,13.8,6.6,0.9,2.0,8.0
98,19080,Noah Brown,DAL,WR,25,16,184,0,4.7,1.5,80.0,2,1,0.5,11.5,7.4,1.4,2.0,8.0
99,20529,Cam Sims,WAS,WR,23,15,211,2,5.2,1.9,83.3,9,4,0.4,14.1,9.2,1.5,1.0,4.3
100,21741,Denzel Mims,NYJ,WR,23,8,133,0,5.7,2.0,57.1,3,0,0.0,16.6,5.8,0.8,4.0,17.4
101,22588,Anthony Schwartz,CLE,WR,23,10,135,1,4.5,1.9,71.4,5,2,0.4,13.5,5.9,0.9,1.0,4.3
102,19816,DJ Chark,JAX,WR,22,7,154,2,5.4,1.1,58.3,0,0,,22.0,7.0,1.5,2.0,9.1
103,18030,Chris Moore,HOU,WR,22,21,227,2,4.6,1.4,105.0,2,1,0.5,10.8,10.3,2.0,0.0,0.0
104,20792,N'Keal Harry,NE,WR,22,12,184,0,4.3,1.2,75.0,6,3,0.5,15.3,8.4,1.5,1.0,4.5
105,21730,Collin Johnson,NYG,WR,21,11,105,0,6.2,0.8,84.6,4,2,0.5,9.5,5.0,0.9,0.0,0.0
106,21349,Ashton Dulin,IND,WR,21,13,173,2,4.6,1.2,68.4,6,2,0.3,13.3,8.2,1.5,1.0,4.8
107,20081,Trent Sherfield Sr.,SF,WR,20,9,87,1,5.3,1.1,69.2,4,2,0.5,9.7,4.3,1.0,2.0,10.0
108,21723,James Proche II,BAL,WR,20,16,202,0,5.7,2.6,100.0,2,2,1.0,12.6,10.1,1.5,0.0,0.0
109,22569,Dee Eskridge,SEA,WR,20,10,64,1,4.9,1.6,66.7,6,0,0.0,6.4,3.2,0.6,0.0,0.0
110,21005,Parris Campbell,IND,WR,20,10,162,1,4.1,1.6,83.3,7,1,0.1,16.2,8.1,1.3,1.0,5.0
111,22590,Ben Skowronek,LAR,WR,20,11,133,0,4.3,2.5,73.3,0,0,,12.1,6.7,1.4,2.0,10.0
112,20816,Lil'Jordan Humphrey,NO,WR,18,13,249,2,4.7,1.7,100.0,2,0,0.0,19.1,13.8,2.1,0.0,0.0
113,21078,Jeff Smith,NYJ,WR,17,8,113,0,5.7,1.3,66.7,1,0,0.0,14.1,6.6,0.9,2.0,11.8
114,20398,Equanimeous St. Brown,GB,WR,17,9,98,0,6.2,0.8,75.0,6,1,0.2,10.9,5.8,0.8,0.0,0.0
115,18103,Jakeem Grant Sr.,CHI,WR,17,11,132,2,4.7,1.2,91.7,2,2,1.0,12.0,7.8,2.1,0.0,0.0
116,16790,Phillip Dorsett,HOU,WR,14,7,110,0,5.5,1.6,77.8,5,1,0.2,15.7,7.8,2.0,0.0,0.0
117,21115,Juwann Winfree,GB,WR,13,8,58,0,5.5,1.8,72.7,1,0,0.0,7.2,4.5,0.9,1.0,7.7
118,22596,Jaelon Darden,TB,WR,12,6,43,0,3.4,1.5,75.0,1,0,0.0,7.2,3.6,0.8,1.0,8.3
119,19864,Anthony Miller,PIT,WR,12,6,25,1,4.3,1.2,66.7,0,0,,4.2,2.1,0.4,1.0,8.3
120,19705,Greg Ward,PHI,WR,11,7,95,3,4.9,1.9,70.0,3,2,0.7,13.6,8.6,0.9,2.0,18.2
121,21556,Tom Kennedy,DET,WR,10,6,54,0,4.8,1.4,75.0,1,0,0.0,9.0,5.4,0.6,0.0,0.0
122,21138,Scotty Miller,TB,WR,9,5,38,0,4.4,1.8,83.3,3,0,0.0,7.6,4.2,0.4,0.0,0.0
123,18928,Curtis Samuel,WAS,WR,9,6,27,0,3.2,0.3,100.0,1,0,0.0,4.5,3.0,0.7,0.0,0.0
124,22591,Dez Fitzpatrick,TEN,WR,8,5,49,1,3.2,1.9,250.0,1,1,1.0,9.8,6.1,1.0,0.0,0.0
125,16141,Willie Snead IV,CAR,WR,8,4,38,0,5.3,1.8,57.1,1,0,0.0,9.5,4.8,1.3,2.0,25.0
126,22417,Kristian Wilkerson,NE,WR,8,4,42,2,4.3,1.9,66.7,4,0,0.0,10.5,5.2,1.4,1.0,12.5
127,20071,Keith Kirkwood,CAR,WR,7,3,16,0,6.2,2.4,50.0,2,0,0.0,5.3,2.3,0.4,0.0,0.0
128,20939,David Sills,NYG,WR,6,2,17,0,4.4,2.7,66.7,1,0,0.0,8.5,2.8,0.4,1.0,16.7
129,22595,Ihmir Smith-Marsette,MIN,WR,6,5,116,2,4.7,2.5,83.3,1,0,0.0,23.2,19.3,1.9,0.0,0.0
130,22604,Tylan Wallace,BAL,WR,6,2,23,0,4.9,1.2,66.7,0,0,,11.5,3.8,0.5,1.0,16.7
131,21473,D.J. Montgomery,NYJ,WR,6,3,36,0,4.3,1.3,60.0,0,0,,12.0,6.0,1.2,1.0,16.7
132,22622,Racey McMath,TEN,WR,6,2,8,0,3.9,0.5,200.0,1,0,0.0,4.0,1.3,0.2,0.0,0.0
133,21263,Trenton Irwin,CIN,WR,5,2,34,0,5.3,0.6,50.0,2,0,0.0,17.0,6.8,0.7,0.0,0.0
134,21383,Jody Fortson Jr.,KC,WR,5,5,47,2,2.7,1.4,100.0,3,1,0.3,9.4,9.4,1.8,0.0,0.0
135,18197,Alex Erickson,CAR,WR,4,3,55,0,4.5,1.5,150.0,0,0,,18.3,13.8,2.1,0.0,0.0
136,21169,Malik Taylor,GB,WR,3,2,14,0,2.9,1.0,66.7,1,0,0.0,7.0,4.7,1.2,0.0,0.0
137,22620,Mike Strachan,IND,WR,3,2,26,0,4.4,0.0,100.0,2,2,1.0,13.0,8.7,0.8,0.0,0.0
138,21311,Davion Davis,HOU,WR,3,1,17,0,3.4,1.3,50.0,1,0,0.0,17.0,5.7,1.2,0.0,0.0
139,21601,Gunner Olszewski,NE,WR,3,2,31,0,4.0,1.0,66.7,1,0,0.0,15.5,10.3,1.1,0.0,0.0
140,19064,Trent Taylor,CIN,WR,3,2,41,0,5.0,3.0,100.0,1,1,1.0,20.5,13.7,1.9,0.0,0.0
141,21071,Greg Dortch,ARI,WR,3,3,15,0,3.5,0.0,100.0,0,0,,5.0,5.0,0.8,0.0,0.0
142,19120,David Moore,GB,WR,2,0,0,0,3.4,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
143,21746,Tarik Black,NYJ,WR,2,1,10,0,0.0,0.0,0.0,0,0,,10.0,5.0,0.0,0.0,0.0
144,22608,Seth Williams,DEN,WR,1,1,34,0,5.6,0.0,100.0,1,1,1.0,34.0,34.0,1.5,0.0,0.0
145,21737,Tyrie Cleveland,DEN,WR,1,0,0,0,5.1,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
146,20820,Andy Isabella,ARI,WR,1,1,13,0,6.3,4.0,100.0,0,0,,13.0,13.0,0.7,0.0,0.0
147,21037,Miles Boykin,BAL,WR,1,1,6,0,4.3,0.0,100.0,1,1,1.0,6.0,6.0,0.5,0.0,0.0
148,21400,Steven Sims,PIT,WR,0,0,0,0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0
149,22635,Jalen Camp,HOU,WR,0,0,0,0,5.8,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0
150,20487,Brandon Powell,LAR,WR,0,0,0,0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0
151,19922,Justin Watson,TB,WR,0,0,0,0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0
152,21728,Lawrence Cager,CLE,WR,0,0,0,0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0
153,22645,Simi Fehoko,DAL,WR,0,0,0,0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0
154,22602,Tutu Atwell,LAR,WR,0,0,0,0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0
155,21760,Isaiah Hodgins,BUF,WR,0,0,0,0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0
156,21295,Nsimba Webster,CHI,WR,0,0,0,0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0
157,19981,Daurice Fountain,KC,WR,0,0,0,0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0
158,21294,Alex Bachman,NYG,WR,0,0,0,0,6.3,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0
159,7651,Matthew Slater,NE,WR,0,0,0,0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0
160,19755,River Cracraft,SF,WR,0,0,0,0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0
