rank,id,player,team,pos,gp,third_pass_yds,third_pass_td,third_pass_int,third_rush_yds,third_rush_td,third_rec,third_rec_yds,third_rec_td,third_def_sck,third_def_int,third_fum_forced,third_fum_recovered,third_fpts_ppr_per_gp,third_fpts_ppr
1,21685,Justin Jefferson,MIN,WR,17,23,0,0,10,0,29,476,5,0,0,0,0,6.4,108.5
2,18082,Tyreek Hill,MIA,WR,17,0,0,0,0,0,30,458,4,0,0,0,0,5.9,99.8
3,16470,Davante Adams,LV,WR,17,0,0,0,-1,0,27,479,3,0,0,0,0,5.5,92.8
4,16765,Amari Cooper,CLE,WR,17,0,0,0,0,0,28,473,2,0,0,0,0,5.1,87.3
5,21679,CeeDee Lamb,DAL,WR,17,0,0,0,14,0,26,397,3,0,0,0,0,5.0,85.1
6,22565,Chris Olave,NO,WR,15,0,0,0,0,0,26,371,3,0,0,0,0,5.4,81.1
7,22598,Jaylen Waddle,MIA,WR,17,0,0,0,0,0,26,429,2,0,0,0,0,4.8,80.9
8,22587,Amon-Ra St. Brown,DET,WR,16,0,0,0,16,0,29,373,2,0,0,0,0,5.0,79.9
9,23122,Garrett Wilson,NYJ,WR,17,0,0,0,0,0,26,307,3,0,0,0,0,4.4,74.7
10,21042,A.J. Brown,PHI,WR,17,0,0,0,0,0,21,370,3,0,0,0,0,4.4,74.0
11,23153,George Pickens,PIT,WR,17,0,0,0,1,1,19,335,2,0,0,0,0,4.2,70.6
12,18883,JuJu Smith-Schuster,KC,WR,16,0,0,0,0,0,20,342,3,0,0,0,0,4.4,70.2
13,20876,Jakobi Meyers,NE,WR,14,0,0,0,-18,0,22,329,2,0,0,0,0,4.5,63.1
14,20875,DK Metcalf,SEA,WR,17,0,0,0,0,0,19,249,3,0,0,0,0,3.6,61.9
15,21687,DeVonta Smith,PHI,WR,17,0,0,0,0,0,21,316,1,0,0,0,0,3.4,58.6
16,16830,Tyler Lockett,SEA,WR,16,0,0,0,0,0,19,211,3,0,0,0,0,3.6,58.1
17,17986,Tyler Boyd,CIN,WR,16,23,0,0,0,0,18,203,3,0,0,0,0,3.6,57.2
18,18928,Curtis Samuel,WAS,WR,17,0,0,0,5,0,22,226,2,0,0,0,0,3.4,57.1
19,22564,Ja'Marr Chase,CIN,WR,12,0,0,0,0,0,24,222,2,0,0,0,0,4.7,56.2
20,21744,Michael Pittman Jr.,IND,WR,16,0,0,0,0,0,30,216,1,0,0,0,0,3.5,55.6
21,19844,DJ Moore,CAR,WR,17,0,0,0,1,0,18,255,2,0,0,0,0,3.3,55.6
22,16906,Stefon Diggs,BUF,WR,16,0,0,0,0,0,16,275,2,0,0,0,0,3.5,55.5
23,19815,Christian Kirk,JAX,WR,17,0,0,0,0,0,18,249,2,0,0,0,0,3.2,54.9
24,19800,Courtland Sutton,DEN,WR,15,0,0,0,0,0,19,287,1,0,0,0,0,3.6,53.7
25,21692,Jerry Jeudy,DEN,WR,15,0,0,0,0,0,17,304,1,0,0,0,0,3.6,53.4
26,21714,K.J. Osborn,MIN,WR,17,0,0,0,4,0,15,190,3,0,0,0,0,3.1,52.4
27,16597,Mike Evans,TB,WR,15,0,0,0,0,0,18,279,1,0,0,0,0,3.5,51.9
28,20873,Terry McLaurin,WAS,WR,17,0,0,0,0,0,21,242,1,0,0,0,0,3.0,51.2
29,21735,Gabe Davis,BUF,WR,15,0,0,0,0,0,11,272,2,0,0,0,0,3.3,50.2
30,15076,Keenan Allen,LAC,WR,10,0,0,0,0,0,19,244,1,0,0,0,0,4.9,49.4
31,19867,Michael Gallup,DAL,WR,14,0,0,0,0,0,14,174,3,0,0,0,0,3.5,49.4
32,18926,Zay Jones,JAX,WR,16,0,0,0,0,0,19,231,1,0,0,0,0,3.0,48.1
33,18882,Cooper Kupp,LAR,WR,9,0,0,0,4,0,15,226,2,0,0,0,0,5.3,48.0
34,18880,Chris Godwin,TB,WR,15,0,0,0,0,0,23,208,1,0,0,0,0,3.2,47.8
35,21754,Donovan Peoples-Jones,CLE,WR,17,0,0,0,0,0,15,225,2,0,0,0,0,2.8,47.5
36,20145,Allen Lazard,GB,WR,15,0,0,0,0,0,18,288,0,0,0,0,0,3.1,46.8
37,20932,Deebo Samuel Sr.,SF,WR,13,0,0,0,0,0,14,194,2,0,0,0,0,3.5,45.4
38,21721,Devin Duvernay,BAL,WR,14,0,0,0,44,1,8,89,3,0,0,0,0,3.2,45.3
39,21690,Tee Higgins,CIN,WR,16,0,0,0,0,0,11,205,2,0,0,0,0,2.7,43.5
40,23395,Christian Watson,GB,WR,14,0,0,0,0,0,13,181,2,0,0,0,0,3.1,43.1
41,21717,Jauan Jennings,SF,WR,16,0,0,0,0,0,20,224,0,0,0,0,0,2.6,42.4
42,14986,DeAndre Hopkins,ARI,WR,9,0,0,0,0,0,10,141,3,0,0,0,0,4.7,42.1
43,22613,Joshua Palmer,LAC,WR,16,0,0,0,4,0,18,237,0,0,0,0,0,2.6,42.1
44,21005,Parris Campbell,IND,WR,17,0,0,0,0,0,16,197,1,0,0,0,0,2.5,41.7
45,19080,Noah Brown,DAL,WR,16,0,0,0,0,0,13,225,1,0,0,0,0,2.6,41.5
46,21045,Marquise Brown,ARI,WR,12,0,0,0,0,0,13,158,2,0,0,0,0,3.4,40.8
47,18422,Kalif Raymond,DET,WR,17,0,0,0,11,0,16,232,0,0,0,0,0,2.4,40.3
48,23155,Jahan Dotson,WAS,WR,12,0,0,0,0,0,10,120,3,0,0,0,0,3.3,40.0
49,20943,Darius Slayton,NYG,WR,16,0,0,0,0,0,12,213,1,0,0,0,0,2.5,39.3
50,21071,Greg Dortch,ARI,WR,16,0,0,0,3,0,17,158,1,0,0,0,0,2.4,39.1
51,19976,Marquez Valdes-Scantling,KC,WR,17,0,0,0,0,0,9,237,1,0,0,0,0,2.3,38.7
52,14871,Robert Woods,TEN,WR,17,0,0,0,0,0,17,156,1,0,0,0,0,2.3,38.6
53,18914,Mike Williams,LAC,WR,13,0,0,0,0,0,13,196,1,0,0,0,0,3.0,38.6
54,21077,Diontae Johnson,PIT,WR,17,0,0,0,1,0,18,204,0,0,0,0,0,2.3,38.5
55,21961,Darnell Mooney,CHI,WR,12,0,0,0,0,0,10,151,2,0,0,0,0,3.1,37.1
56,20924,Hunter Renfrow,LV,WR,10,0,0,0,0,0,13,121,2,0,0,0,0,3.7,37.1
57,21734,Nick Westbrook-Ikhine,TEN,WR,17,0,0,0,0,0,11,133,2,0,0,0,0,2.1,36.3
58,19043,Isaiah McKenzie,BUF,WR,15,0,0,0,0,0,13,112,2,0,0,0,0,2.4,36.2
59,21747,Brandon Aiyuk,SF,WR,17,0,0,0,0,0,14,159,1,0,0,0,0,2.1,35.9
60,16263,Allen Robinson II,LAR,WR,10,0,0,0,0,0,15,147,1,0,0,0,0,3.6,35.7
61,22592,Elijah Moore,NYJ,WR,16,0,0,0,3,0,12,163,1,0,0,0,0,2.2,34.6
62,23232,Alec Pierce,IND,WR,16,0,0,0,0,0,12,160,1,0,0,0,0,2.1,34.0
63,13870,Marvin Jones Jr.,JAX,WR,16,0,0,0,0,0,11,105,2,0,0,0,0,2.1,33.5
64,19816,DJ Chark,DET,WR,11,0,0,0,0,0,10,114,2,0,0,0,0,3.0,33.4
65,20788,Mecole Hardman Jr.,KC,WR,8,0,0,0,-4,0,8,117,2,0,0,0,0,3.9,31.3
66,19318,Kendrick Bourne,NE,WR,16,0,0,0,2,0,10,144,1,0,0,0,0,1.9,30.6
67,20077,Richie James,NYG,WR,17,0,0,0,0,0,12,122,1,0,0,0,0,1.8,30.2
68,19023,Mack Hollins,LV,WR,17,0,0,0,0,0,12,182,0,0,0,0,0,1.8,30.2
69,23151,Drake London,ATL,WR,17,0,0,0,0,0,13,172,0,0,0,0,0,1.8,30.2
70,21752,Chase Claypool,CHI,WR,15,0,0,0,4,0,14,149,0,0,0,0,0,2.0,29.3
71,16781,Nelson Agholor,NE,WR,16,0,0,0,0,0,10,150,1,0,0,0,0,1.8,29.0
72,21142,Olamide Zaccheaus,ATL,WR,17,0,0,0,0,0,11,118,1,0,0,0,0,1.7,28.8
73,15534,Adam Thielen,MIN,WR,17,0,0,0,0,0,13,95,1,0,0,0,0,1.7,28.5
74,20398,Equanimeous St. Brown,CHI,WR,16,0,0,0,0,0,9,135,1,0,0,0,0,1.8,28.5
75,23469,Tyquan Thornton,NE,WR,13,0,0,0,0,0,7,89,2,0,0,0,0,2.1,27.9
76,18030,Chris Moore,HOU,WR,16,0,0,0,0,0,10,116,1,0,0,0,0,1.7,27.6
77,18047,Demarcus Robinson,BAL,WR,17,0,0,0,0,0,10,114,1,0,0,0,0,1.6,27.4
78,20006,Russell Gage,TB,WR,13,0,0,0,0,0,10,51,2,0,0,0,0,2.1,27.1
79,23119,Treylon Burks,TEN,WR,11,0,0,0,4,0,8,125,1,0,0,0,0,2.4,26.9
80,21739,Van Jefferson,LAR,WR,11,0,0,0,0,0,8,126,1,0,0,0,0,2.4,26.6
81,19854,Dante Pettis,CHI,WR,17,0,0,0,8,0,5,83,2,0,0,0,0,1.5,26.1
82,17218,DeAndre Carter,LAC,WR,17,0,0,0,0,0,13,128,0,0,0,0,0,1.5,25.8
83,22590,Ben Skowronek,LAR,WR,14,0,0,0,0,0,10,145,0,0,0,0,0,1.8,24.5
84,23167,Romeo Doubs,GB,WR,13,0,0,0,0,0,8,45,2,0,0,0,0,1.9,24.5
85,14865,Marquise Goodwin,SEA,WR,13,0,0,0,0,0,7,108,1,0,0,0,0,1.8,23.8
86,16568,Brandin Cooks,HOU,WR,13,0,0,0,0,0,9,145,0,0,0,0,0,1.8,23.5
87,23170,Wan'Dale Robinson,NYG,WR,6,0,0,0,0,0,8,85,1,0,0,0,0,3.8,22.5
88,13227,Randall Cobb,GB,WR,13,0,0,0,0,0,9,131,0,0,0,0,0,1.7,22.1
89,23729,Rashid Shaheed,NO,WR,12,0,0,0,0,0,7,138,0,0,0,0,0,1.7,20.8
90,13291,Julio Jones,TB,WR,10,0,0,0,5,0,6,79,1,0,0,0,0,2.0,20.4
91,22626,Rondale Moore,ARI,WR,8,0,0,0,0,0,9,108,0,0,0,0,0,2.5,19.8
92,20081,Trent Sherfield Sr.,MIA,WR,17,0,0,0,0,0,9,106,0,0,0,0,0,1.2,19.6
93,21760,Isaiah Hodgins,NYG,WR,10,0,0,0,0,0,8,112,0,0,0,0,0,1.9,19.2
94,18879,Corey Davis,NYJ,WR,13,0,0,0,0,0,6,71,1,0,0,0,0,1.5,19.1
95,19922,Justin Watson,KC,WR,17,0,0,0,0,0,3,97,1,0,0,0,0,1.1,18.7
96,22685,Terrace Marshall Jr.,CAR,WR,14,0,0,0,0,0,6,121,0,0,0,0,0,1.3,18.1
97,21756,Nico Collins,HOU,WR,10,0,0,0,0,0,9,80,0,0,0,0,0,1.7,17.0
98,17960,Michael Thomas,NO,WR,3,0,0,0,0,0,5,59,1,0,0,0,0,5.6,16.9
99,21263,Trenton Irwin,CIN,WR,9,0,0,0,0,0,5,56,1,0,0,0,0,1.8,16.6
100,16787,Breshad Perriman,TB,WR,11,0,0,0,-7,0,5,60,1,0,0,0,0,1.5,16.3
101,22609,Shi Smith,CAR,WR,17,0,0,0,0,0,4,53,1,0,0,0,0,0.9,15.3
102,14005,T.Y. Hilton,DAL,WR,3,0,0,0,0,0,4,99,0,0,0,0,0,4.6,13.9
103,21138,Scotty Miller,TB,WR,15,0,0,0,0,0,7,67,0,0,0,0,0,0.9,13.7
104,23642,Jalen Virgil,DEN,WR,9,0,0,0,0,0,1,66,1,0,0,0,0,1.5,13.6
105,22213,Kendall Hinton,DEN,WR,12,0,0,0,0,0,5,85,0,0,0,0,0,1.1,13.5
106,16790,Phillip Dorsett,HOU,WR,15,0,0,0,0,0,3,44,1,0,0,0,0,0.9,13.4
107,19172,Zach Pascal,PHI,WR,17,0,0,0,0,0,7,64,0,0,0,0,0,0.8,13.4
108,22575,Amari Rodgers,HOU,WR,16,0,0,0,0,0,6,68,0,0,0,0,0,0.8,12.8
109,19044,Jamal Agnew,JAX,WR,15,0,0,0,0,0,6,64,0,0,0,0,0,0.8,12.4
110,21686,Jalen Reagor,MIN,WR,17,0,0,0,17,0,2,26,1,0,0,0,0,0.7,12.3
111,21957,Quez Watkins,PHI,WR,17,0,0,0,-3,0,6,64,0,0,0,0,0,0.7,12.1
112,23763,Brandon Johnson,DEN,WR,7,0,0,0,0,0,3,21,1,0,0,0,0,1.6,11.1
113,19961,Ray-Ray McCloud,SF,WR,17,0,0,0,5,0,4,66,0,0,0,0,0,0.7,11.1
114,21349,Ashton Dulin,IND,WR,12,0,0,0,5,0,5,53,0,0,0,0,0,0.9,10.8
115,23148,David Bell,CLE,WR,16,0,0,0,0,0,6,47,0,0,0,0,0,0.7,10.7
116,23168,Skyy Moore,KC,WR,16,0,0,0,0,0,4,64,0,0,0,0,0,0.7,10.4
117,22623,Rashod Bateman,BAL,WR,6,0,0,0,0,0,4,60,0,0,0,0,0,1.7,10.0
118,16775,DeVante Parker,NE,WR,13,0,0,0,0,0,4,57,0,0,0,0,0,0.7,9.7
119,20150,Byron Pringle,CHI,WR,11,0,0,0,0,0,2,16,1,0,0,0,0,0.9,9.6
120,21556,Tom Kennedy,DET,WR,7,0,0,0,0,0,3,66,0,0,0,0,0,1.4,9.6
121,23227,Khalil Shakir,BUF,WR,14,0,0,0,0,0,1,24,1,0,0,0,0,0.7,9.4
122,21697,Laviska Shenault Jr.,CAR,WR,13,0,0,0,0,0,5,41,0,0,0,0,0,0.7,9.1
123,20939,David Sills,NYG,WR,9,0,0,0,0,0,5,40,0,0,0,0,0,1.0,9.0
124,21741,Denzel Mims,NYJ,WR,10,0,0,0,0,0,3,57,0,0,0,0,0,0.9,8.7
125,19897,Tre'Quan Smith,NO,WR,15,0,0,0,0,0,4,41,0,0,0,0,0,0.5,8.1
126,17141,Damiere Byrd,ATL,WR,14,0,0,0,0,0,3,50,0,0,0,0,0,0.6,8.0
127,19064,Trent Taylor,CIN,WR,16,0,0,0,0,0,3,47,0,0,0,0,0,0.5,7.7
128,16855,Ty Montgomery II,NE,WR,1,0,0,0,0,0,1,6,1,0,0,0,0,7.6,7.6
129,21750,Marquez Callaway,NO,WR,14,0,0,0,0,0,4,35,0,0,0,0,0,0.5,7.5
130,16768,Kevin White,NO,WR,7,0,0,0,0,0,1,64,0,0,0,0,0,1.1,7.4
131,19755,River Cracraft,MIA,WR,11,0,0,0,0,0,1,2,1,0,0,0,0,0.7,7.2
132,19017,Josh Reynolds,DET,WR,14,0,0,0,0,0,3,41,0,0,0,0,0,0.5,7.1
133,22602,Tutu Atwell,LAR,WR,13,0,0,0,-6,0,4,33,0,0,0,0,0,0.5,6.7
134,20038,Braxton Berrios,NYJ,WR,17,0,0,0,2,0,3,35,0,0,0,0,0,0.4,6.7
135,17961,Sterling Shepard,NYG,WR,3,0,0,0,0,0,4,24,0,0,0,0,0,2.1,6.4
136,21448,Jalen Guyton,LAC,WR,3,0,0,0,0,0,1,54,0,0,0,0,0,2.1,6.4
137,21960,Freddie Swain,DEN,WR,4,0,0,0,0,0,1,52,0,0,0,0,0,1.6,6.2
138,22622,Racey McMath,TEN,WR,5,0,0,0,0,0,2,40,0,0,0,0,0,1.2,6.0
139,20013,Cedrick Wilson Jr.,MIA,WR,15,0,0,0,0,0,3,30,0,0,0,0,0,0.4,6.0
140,12845,A.J. Green,ARI,WR,15,0,0,0,0,0,4,19,0,0,0,0,0,0.4,5.9
141,18209,Marcus Johnson,NYG,WR,14,0,0,0,0,0,3,28,0,0,0,0,0,0.4,5.8
142,3943,DeSean Jackson,BAL,WR,7,0,0,0,0,0,2,37,0,0,0,0,0,0.8,5.7
143,16003,Sammy Watkins,BAL,WR,12,0,0,0,0,0,2,35,0,0,0,0,0,0.5,5.5
144,23481,Velus Jones Jr.,CHI,WR,12,0,0,0,0,0,3,23,0,0,0,0,0,0.4,5.3
145,16020,Jarvis Landry,NO,WR,9,0,0,0,0,0,3,20,0,0,0,0,0,0.6,5.0
146,18187,Robbie Chosen,ARI,WR,16,0,0,0,0,0,4,29,0,0,0,0,0,0.3,4.9
147,19514,Keelan Cole Sr.,LV,WR,14,0,0,0,0,0,2,29,0,0,0,0,0,0.4,4.9
148,23099,Michael Bandy,LAC,WR,10,0,0,0,0,0,2,29,0,0,0,0,0,0.5,4.9
149,20679,KhaDarel Hodge,ATL,WR,17,0,0,0,0,0,2,24,0,0,0,0,0,0.3,4.4
150,22588,Anthony Schwartz,CLE,WR,11,0,0,0,0,0,2,22,0,0,0,0,0,0.4,4.2
151,16866,Jamison Crowder,BUF,WR,4,0,0,0,0,0,2,22,0,0,0,0,0,1.1,4.2
152,23468,Michael Woods II,CLE,WR,11,0,0,0,0,0,2,20,0,0,0,0,0,0.4,4.0
153,21400,Steven Sims,PIT,WR,12,0,0,0,25,0,1,2,0,0,0,0,0,0.3,3.7
154,21078,Jeff Smith,NYJ,WR,11,0,0,0,0,0,2,15,0,0,0,0,0,0.3,3.5
155,20487,Brandon Powell,LAR,WR,17,0,0,0,14,0,2,1,0,0,0,0,0,0.2,3.5
156,21759,KJ Hamler,DEN,WR,7,0,0,0,0,0,2,15,0,0,0,0,0,0.5,3.5
157,23463,Kyle Philips,TEN,WR,4,0,0,0,0,0,2,10,0,0,0,0,0,0.8,3.0
158,14141,Cole Beasley,BUF,WR,4,0,0,0,0,0,2,10,0,0,0,0,0,0.8,3.0
159,22686,Dyami Brown,WAS,WR,15,0,0,0,0,0,1,17,0,0,0,0,0,0.2,2.7
160,21115,Juwann Winfree,GB,WR,3,0,0,0,0,0,1,17,0,0,0,0,0,0.9,2.7
161,20071,Keith Kirkwood,NO,WR,5,0,0,0,0,0,1,14,0,0,0,0,0,0.5,2.4
162,23604,Montrell Washington,DEN,WR,15,0,0,0,9,0,1,4,0,0,0,0,0,0.2,2.3
163,20820,Andy Isabella,BAL,WR,5,0,0,0,0,0,1,11,0,0,0,0,0,0.4,2.1
164,23368,Jalen Nailor,MIN,WR,15,0,0,0,0,0,1,11,0,0,0,0,0,0.1,2.1
165,17289,Jake Kumerow,BUF,WR,6,0,0,0,0,0,1,11,0,0,0,0,0,0.4,2.1
166,21723,James Proche II,BAL,WR,15,0,0,0,0,0,1,10,0,0,0,0,0,0.1,2.0
167,21736,Bryan Edwards,ATL,WR,7,0,0,0,0,0,1,10,0,0,0,0,0,0.3,2.0
168,22604,Tylan Wallace,BAL,WR,9,0,0,0,0,0,1,8,0,0,0,0,0,0.2,1.8
169,21295,Nsimba Webster,CHI,WR,2,0,0,0,0,0,1,8,0,0,0,0,0,0.9,1.8
170,24073,Maurice Alexander,DET,WR,4,0,0,0,0,0,1,7,0,0,0,0,0,0.4,1.7
171,16837,Chris Conley,TEN,WR,9,0,0,0,0,0,1,7,0,0,0,0,0,0.2,1.7
172,20792,N'Keal Harry,CHI,WR,7,0,0,0,0,0,1,7,0,0,0,0,0,0.2,1.7
173,22234,Andre Baccellia,ARI,WR,8,0,0,0,0,0,1,7,0,0,0,0,0,0.2,1.7
174,19280,Cody Hollister,TEN,WR,11,0,0,0,0,0,1,5,0,0,0,0,0,0.1,1.5
175,23746,Deven Thompkins,TB,WR,5,0,0,0,0,0,1,5,0,0,0,0,0,0.3,1.5
176,22973,Austin Trammell,LAR,WR,6,0,0,0,0,0,1,5,0,0,0,0,0,0.2,1.5
177,17914,Laquon Treadwell,SEA,WR,6,0,0,0,0,0,1,5,0,0,0,0,0,0.2,1.5
178,18977,Kenny Golladay,NYG,WR,12,0,0,0,0,0,1,5,0,0,0,0,0,0.1,1.5
179,23325,Erik Ezukanma,MIA,WR,1,0,0,0,0,0,1,3,0,0,0,0,0,1.3,1.3
180,20793,Penny Hart,SEA,WR,9,0,0,0,0,0,1,2,0,0,0,0,0,0.1,1.2
181,22614,Kadarius Toney,KC,WR,9,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.1
182,21601,Gunner Olszewski,PIT,WR,16,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.1
183,23966,Lance McCutcheon,LAR,WR,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
184,19431,Tanner Gentry,BUF,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
185,16640,John Brown,BUF,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
186,23441,Braylon Sanders,MIA,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
187,22683,Jacob Harris,LAR,WR,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
188,22345,Dan Chisena,MIN,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
189,23978,Raleigh Webb,NE,WR,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
190,20886,Stanley Morgan Jr.,CIN,WR,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
191,23573,Danny Gray,SF,WR,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
192,23659,Tay Martin,SF,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
193,22591,Dez Fitzpatrick,TEN,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
194,19200,C.J. Board,TEN,WR,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
195,23292,Stanley Berryhill,DET,WR,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
196,11565,Andre Roberts,CAR,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
197,18197,Alex Erickson,WAS,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
198,21959,Dezmon Patmon,IND,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
199,22567,Cade Johnson,SEA,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
200,22645,Simi Fehoko,DAL,WR,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
201,21368,Trinity Benson,DET,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
202,21037,Miles Boykin,PIT,WR,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
203,19937,Keke Coutee,IND,WR,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
204,24068,KaVontae Turpin,DAL,WR,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
205,22616,Kaylon Geiger,TB,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
206,18361,Chester Rogers,CLE,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
207,24076,Josh Ali,ATL,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
208,22415,Mason Kinsey,TEN,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
209,22572,Dax Milne,WAS,WR,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
210,20684,Malik Turner,SF,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
211,16141,Willie Snead IV,SF,WR,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
212,23624,Dareke Young,SEA,WR,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
213,22635,Jalen Camp,HOU,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
214,21675,Tyler Johnson,HOU,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
215,20838,Tyron Billy-Johnson,HOU,WR,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
216,21729,Quintez Cephus,DET,WR,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
217,19779,Brandon Zylstra,DET,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
218,23234,Jameson Williams,DET,WR,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
219,23838,Daylen Baldwin,CLE,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
220,7651,Matthew Slater,NE,WR,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
221,21737,Tyrie Cleveland,DEN,WR,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
222,23725,Dennis Houston,DAL,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
223,22597,Jalen Tolbert,DAL,WR,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
224,22594,Frank Darby,ATL,WR,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
225,18445,Mike Thomas,CIN,WR,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
226,20988,Preston Williams,CAR,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
227,22620,Mike Strachan,IND,WR,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
228,22892,Tim Jones,JAX,WR,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
229,22595,Ihmir Smith-Marsette,KC,WR,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
230,22568,Cornell Powell,KC,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
231,21743,Lynn Bowden Jr.,NE,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
232,20816,Lil'Jordan Humphrey,NE,WR,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
233,21964,Cody White,PIT,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
234,23634,Samori Toure,GB,WR,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
235,18039,Pharoh Cooper,ARI,WR,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
236,18089,Rashard Higgins,CAR,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
237,19361,Marcus Kemp,KC,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
238,21178,Jason Moore,LAC,WR,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
239,20529,Cam Sims,WAS,WR,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
240,22596,Jaelon Darden,CLE,WR,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
241,22644,DJ Turner,LV,WR,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
242,23741,Jared Bernhardt,ATL,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
243,14587,Josh Gordon,TEN,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
244,22569,Dee Eskridge,SEA,WR,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
245,23821,Kyric McGowan,WAS,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
246,19865,James Washington,DAL,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
247,23909,Kwamie Lassiter II,CIN,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
248,23302,Britain Covey,PHI,WR,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
249,22600,Johnny Johnson III,HOU,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
250,21722,Binjimen Victor,BAL,WR,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
251,22339,Kirk Merritt,NO,WR,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
252,21163,Deonte Harty,NO,WR,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
253,20011,Javon Wims,ARI,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
254,23998,Ethan Fernea,IND,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
